,Vendargues,Montpellier est,Montpellier sud,Montpellier ouest,St-Jean-de-Vedas,Peage de Montpellier St-Jean,Sete,Agde Pezenas,Peage de Beziers-Cabrials,Beziers ouest,Narbonne est ,Narbonne sud,Sigean ,Leucate,Perpignan nord,Perpignan sud,Le Boulou  (peage sys ferme),Peage du Perthus,Le Boulou (peage sys ouvert),Frontiere Espagnole,Lezignan,Carcassone est,Carcassone ouest,Bram,Castelnoudary,Villefranche-de-Lauragais,Nailloux,Mazeres-Saverdun,Peage de pamiers,Pamiers nord,Pamiers sud,Montgiscard,Peage de Toulouse sud/ouest,Le palays,Peage de Toulouse sud/est,Montaudran,Lasbordes,Soupetrad,La Roseraie,La Croix Daurade,Borderouge,Les lzards,Sesquieres
Lezignan,114.54882670712382,107.89626035247456,104.0552364550003,102.07114004838857,98.73828086834413,98.4347144294018,83.70684659834589,59.26261110390509,48.32924901279514,41.75052860018193,23.740812841875776,20.44522357010596,22.810730005193367,31.560518117079962,44.702283027525155,56.959793478276666,71.85179832852603,71.57109812221088,71.85179832852603,78.95209851956116,0.0,26.26540543607988,35.67145041023058,52.77765126586305,65.91732912052191,88.55874335037127,93.81193221533431,89.52620318945675,91.35763098794098,91.22975122216039,90.58454318161769,99.12999983025057,108.80991869191546,109.89517620976098,108.80991869191546,110.33433887921113,111.40140266408181,112.67142931076901,114.06813594580885,115.64277239775646,116.74558239234607,117.88145928717104,119.20390542774936
Carcassone est,136.91572262217846,130.58832282203045,126.82941678394589,124.93497051587798,121.56741204484878,121.2718551184899,107.04264872930197,83.12589287001639,72.24849118934988,66.16138078307415,49.8682943468357,46.67311658159896,46.820932667678676,52.94561718125404,59.91910387715262,69.0702559477863,81.25616679530212,81.03529234647814,81.25616679530212,88.92671108554704,26.26540543607988,0.0,9.443064598621106,26.545271674956602,39.855699114451824,62.92400593656259,67.9857640561873,63.269759978521016,65.36650694342289,65.27419208314319,64.712163097665,73.79429380348263,83.99754102486224,85.16827027006664,83.99754102486224,85.7524949350455,87.02053523185185,88.38820439297348,89.96522492715138,91.67111155040627,92.7371916125067,93.81895525500683,95.07283920110802
Carcassone ouest,145.67350006293023,139.4297152303209,135.6952077517952,133.8234581561524,130.4544059402523,130.16110404000202,116.06131964156569,92.29196556417199,81.45204384255018,75.45085123647723,59.307129343262055,56.09807742664762,55.682169918890224,61.15538962093942,66.44650825760337,74.47088279896155,85.5350893719568,85.33800255289123,85.5350893719568,93.23806530664127,35.67145041023058,9.443064598621106,0.0,17.322111400959567,30.837624485547124,54.2057228298953,59.09253912728387,53.855595161442736,55.948887426350666,55.865315839088595,55.32652640670341,65.25794896637606,75.77357470996986,76.9940850137597,75.77357470996986,77.66756751263244,79.05470120434963,80.475509277203,82.15363169902756,83.92898613835789,84.96799058333596,86.01255027257164,87.22013112390178
Bram,159.9068815170369,153.89977638425137,150.2409423406168,148.43530417612484,145.0725885593574,144.7862154757862,131.0840312128783,107.82306521889599,97.14073973170404,91.4363523222205,76.24057539915594,73.1231810970138,72.98518189978198,78.18385691006279,82.15971933976407,88.96456990823748,98.58224536220024,98.41708727247384,98.58224536220024,106.22590276036402,52.77765126586305,26.545271674956602,17.322111400959567,0.0,13.626627059005148,37.19957156551271,41.89350776980285,36.960548708563216,40.10169131473257,40.12497124205406,39.83377304912645,48.418947926737225,59.28973064674992,60.571844021583445,59.28973064674992,61.36638043260469,62.91600779065246,64.4050172552092,66.22122388288518,68.08799198102595,69.07926007836872,70.06191808837309,71.19453848091264
Castelnoudary,170.16941371310185,164.38099742440988,160.79802985879147,159.05413550208314,155.70834765283124,155.42879827873352,142.11026723970824,119.36946138489542,108.86789730256713,103.43581706160661,89.13306679522051,86.1168413196309,86.51525674693102,91.81012027219683,95.5120337874396,101.85965426583428,110.8068893893168,110.6574191991924,110.8068893893168,118.3848103385359,65.91732912052191,39.855699114451824,30.837624485547124,13.626627059005148,0.0,23.612462287567705,28.27535890802037,25.307604036713713,30.57416944344444,30.79409438688966,30.968143658058004,34.8962345762164,45.96007096300735,47.27985831057296,45.96007096300735,48.15716690024137,49.819548075046676,51.3521972065664,53.26385192170713,55.190320224720296,56.139308986580474,57.070150851183605,58.142135563547356
Villefranche-de-Lauragais,187.5873753299078,182.19440291651085,178.75867187080433,177.12687479525948,173.83109974376092,173.56453187697906,160.9579764566157,139.21249952317507,129.07796544648485,124.10669749626695,111.26453962797606,108.42122343088593,109.73857570095575,115.32416355943566,119.04688831907816,125.0456482703557,133.33941522176366,133.20624260736344,133.33941522176366,140.82532876691585,88.55874335037129,62.92400593656259,54.20572282989531,37.19957156551271,23.612462287567705,0.0,5.8776512327376285,18.377622262059397,27.621307911549135,28.26768504840053,29.54859821332671,11.374756682867902,22.833358573138636,24.234891672682163,22.833358573138636,25.324142179708698,27.265553094243927,28.882544060001326,31.008093783036212,33.04622338980554,33.86121682925869,34.639325363130226,35.540650169826485
Nailloux,193.46258149033133,188.06358499528054,184.62449672290433,182.98984077824545,179.69240289305665,179.42545291611606,166.79063188271223,144.9755916954055,134.80388927101149,129.7800298686118,116.67868999912376,113.78937534000956,114.74362405583366,120.07131439408529,123.21573238573679,128.7881420904597,136.59079002123107,136.46805868845973,136.59079002123107,144.00755259605668,93.8119322153343,67.9857640561873,59.09253912728387,41.89350776980285,28.27535890802037,5.8776512327376285,0.0,16.80557085061284,25.75027417015821,26.44421439195494,27.894840745268464,8.878989643872691,20.362532186499017,21.82918462179389,20.362532186499017,23.168107371165664,25.36045461886478,27.00350943303028,29.265737721900383,31.339595305174036,32.005219392160825,32.61371017415154,33.317897642173705
Mazeres-Saverdun,195.47276794686542,189.68829577269415,186.10337904741195,184.35663567467475,181.00961059143225,180.72962212696547,167.36175607899014,144.46420322992586,133.8789685923041,128.29552199520575,113.11624873060813,109.94263027908437,108.76682677436557,112.81279711007856,113.68851825428928,117.87461600167126,124.32348404820274,124.22682073756074,124.32348404820274,131.53688829831216,89.52620318945675,63.269759978521016,53.855595161442736,36.960548708563216,25.307604036713713,18.377622262059397,16.80557085061284,0.0,9.243817104169617,9.8944138237006,11.224049128304461,25.48973493112881,36.390959005713725,37.85085351738094,36.390959005713725,39.32589745968485,41.62520684463481,43.24943920780008,45.554329442008644,47.61667596904793,48.17374410427142,48.64768843278741,49.176654100352884
Peage de pamiers,199.90816561065574,193.95399409231027,190.3088002993376,188.5128361576561,185.15194388535977,184.86648816527943,171.1846244618163,147.84495969764018,137.10783737026406,131.27074013705715,115.09179009267172,111.78853594316595,109.38730105243701,112.60654442414028,111.98082061980432,115.1523096446199,120.53890516504707,120.46313303196526,120.53890516504707,127.5563486226118,91.35763098794098,65.36650694342289,55.948887426350666,40.10169131473257,30.57416944344444,27.621307911549135,25.75027417015821,9.243817104169617,0.0,0.7119969172932457,2.3103477880425216,34.17615689321628,44.562166248268376,45.99583756282543,44.562166248268376,47.535063990730606,49.88044779887404,51.47535946380292,53.790649174997554,55.82755624858949,56.299454895319016,56.673934401696194,57.07945695012996
Pamiers nord,199.97137653232426,194.00308790947722,190.3530556578228,188.55305575059907,185.19129357280943,184.90539970695878,171.19846045950732,147.82528684438046,137.0775658353594,131.22108610306094,114.96719867809264,111.65486355705943,109.16249674126436,112.32135477371821,111.59274879795116,114.69792581247907,120.0189130441023,119.94437998819419,120.0189130441023,127.02398885849807,91.22975122216039,65.27419208314319,55.865315839088595,40.12497124205406,30.79409438688966,28.26768504840053,26.44421439195494,9.8944138237006,0.7119969172932457,0.0,1.6128982948997177,34.88186912307866,45.27416199476283,46.70780621403098,45.27416199476283,48.24705797644613,50.59240522261736,52.18735368339828,54.50264265554271,56.53954757714724,57.01127306635041,57.38527126768951,57.789824877671656
Pamiers sud,199.7331275439218,193.73342623958098,190.07274508526203,188.2638165716235,184.90028735841207,184.61343039704974,170.85151482937653,147.4061675128691,136.63619267284236,130.73807137091597,114.32529045009254,110.99416881848727,108.31291200498877,111.34989731283306,110.42265607958026,113.40650043462476,118.61475602628796,118.54226558864214,118.61475602628796,125.59946196760458,90.58454318161769,64.712163097665,55.32652640670341,39.83377304912645,30.968143658057997,29.54859821332671,27.894840745268464,11.224049128304461,2.3103477880425216,1.6128982948997177,0.0,36.387750442783016,46.84198575329522,48.27816983065362,46.84198575329522,49.81303720689846,52.15537434821458,53.75326319615867,56.06835847817623,58.107862071757054,58.58613153692017,58.96685189269994,59.37856772725386
Montgiscard,195.2677309839673,190.08504855278608,186.7319182639243,185.16011545349608,181.89894569451346,181.63957051111,169.4218298577165,148.2358015354505,138.31630111195167,133.58650444586985,121.51030855587965,118.76384865168849,120.60447810464538,126.4128632510338,130.3872704127103,136.4187983220265,144.63637828268477,144.50591904303303,144.63637828268477,152.10407629800048,99.12999983025057,73.79429380348265,65.25794896637606,48.418947926737225,34.8962345762164,11.374756682867902,8.878989643872691,25.48973493112881,34.17615689321628,34.88186912307866,36.387750442783016,0.0,11.664611895627086,13.112495504423974,11.664611895627086,14.369753175363073,16.513312116421154,18.156823599887105,20.40422603267848,22.47736260676858,23.16683296822099,23.814499026155115,24.58078803999299
Peage de Toulouse sud/ouest,201.0735382839328,196.1492103093096,192.90135916094908,191.4040643010031,188.1920049632976,187.9417736440906,176.21747584332314,155.7671697685288,146.1422381935917,141.72621074740505,130.67456293794947,128.0673470705462,130.67054545304367,136.85454493465025,141.43052988697926,147.74472868487268,156.1709618244366,156.03717548499807,156.1709618244366,163.65868592311529,108.80991869191546,83.99754102486222,75.77357470996986,59.28973064674992,45.96007096300735,22.833358573138636,20.362532186499017,36.390959005713725,44.562166248268376,45.27416199476283,46.84198575329522,11.664611895627086,0.0,1.469774769246301,0.0,2.98082054979197,5.350499600055192,6.916702306486256,9.231671532023507,11.265904868800934,11.783085625672303,12.290021425524964,12.955395634434792
Le palays,201.6000925914639,196.7113096711603,193.47824232788702,191.99126301997495,188.7864827084677,188.5375341105285,176.88240763910272,156.53730519072124,146.9554352979953,142.58394067511904,131.67923896382007,129.09266443597397,131.80740169279622,138.04833573337925,142.72376042827972,149.0907692634238,157.56350873837738,157.4288655317762,157.56350873837738,165.05641029160168,109.89517620976098,85.16827027006664,76.9940850137597,60.571844021583445,47.27985831057296,24.234891672682163,21.82918462179389,37.85085351738094,45.99583756282543,46.70780621403098,48.27816983065362,13.112495504423974,1.469774769246301,0.0,1.469774769246301,1.6362424756227782,3.996293154665826,5.509273713463008,7.818038801597973,9.834972383576057,10.326730140136666,10.821165902931515,11.489711021019486
Peage de Toulouse sud/est,201.0735382839328,196.1492103093096,192.90135916094908,191.4040643010031,188.1920049632976,187.9417736440906,176.21747584332314,155.7671697685288,146.1422381935917,141.72621074740505,130.67456293794947,128.0673470705462,130.67054545304367,136.85454493465025,141.43052988697926,147.74472868487268,156.1709618244366,156.03717548499807,156.1709618244366,163.65868592311529,108.80991869191546,83.99754102486222,75.77357470996986,59.28973064674992,45.96007096300735,22.833358573138636,20.362532186499017,36.390959005713725,44.562166248268376,45.27416199476283,46.84198575329522,11.664611895627086,0.0,1.469774769246301,0.0,2.98082054979197,5.350499600055192,6.916702306486256,9.231671532023507,11.265904868800934,11.783085625672303,12.290021425524964,12.955395634434792
Montaudran,201.28008570505048,196.4334558396702,193.2181888553006,191.74365006433277,188.5478259340593,188.30043783469125,176.73069447466725,156.52114202725585,146.9970008255572,142.68600749864245,131.99175223835005,129.43646964748436,132.32695806917232,138.66425037893512,143.52600634684535,150.00576896262564,158.59247608678302,158.45554256829698,158.59247608678302,166.09914012697277,110.33433887921113,85.7524949350455,77.66756751263244,61.36638043260469,48.15716690024137,25.324142179708698,23.168107371165664,39.32589745968485,47.535063990730606,48.24705797644613,49.81303720689846,14.369753175363073,2.98082054979197,1.6362424756227782,2.98082054979197,0.0,2.375291326292034,3.940299891122739,6.255596616071653,8.300059076398227,8.862644960309318,9.448476694464485,10.234996598135321
